Below is Time Logs: 
Below is time_logs: for gs://apfm-dev/LID19657381_CID86151902_Ruth Anne_Maul_20200213.wav
Word: confirm, start_time: 0.0,end_time: 0.4 
Word: your, start_time: 0.4,end_time: 0.6000000000000001 
Word: name, start_time: 0.6000000000000001,end_time: 0.7000000000000001 
Word: is, start_time: 0.7000000000000001,end_time: 0.9 
Word: Kristie, start_time: 0.9,end_time: 1.4 
Word: Grace, start_time: 1.4,end_time: 1.7000000000000002 
Word: is, start_time: 1.7000000000000002,end_time: 2.0 
Word: that, start_time: 2.0,end_time: 2.1 
Word: correct, start_time: 2.1,end_time: 2.3 
Word: that's, start_time: 2.3,end_time: 3.6 
Word: correct, start_time: 3.6,end_time: 4.0 
Word: yeah, start_time: 4.0,end_time: 4.1 
Word: okay, start_time: 4.1,end_time: 4.7 
Word: so, start_time: 4.7,end_time: 5.2 
Word: in, start_time: 5.2,end_time: 5.3 
Word: addition, start_time: 5.3,end_time: 5.5 
Word: to, start_time: 5.5,end_time: 5.7 
Word: confirming, start_time: 5.7,end_time: 6.2 
Word: your, start_time: 6.2,end_time: 6.4 
Word: name, start_time: 6.4,end_time: 6.6 
Word: I, start_time: 6.6,end_time: 7.2 
Word: need, start_time: 7.2,end_time: 7.2 
Word: a, start_time: 7.2,end_time: 7.5 
Word: record, start_time: 7.5,end_time: 7.8 
Word: that, start_time: 7.8,end_time: 8.0 
Word: I, start_time: 8.0,end_time: 8.0 
Word: have, start_time: 8.0,end_time: 8.1 
Word: provided, start_time: 8.1,end_time: 8.4 
Word: you, start_time: 8.4,end_time: 8.7 
Word: with, start_time: 8.7,end_time: 8.9 
Word: these, start_time: 8.9,end_time: 9.0 
Word: disclosures, start_time: 9.0,end_time: 9.6 
Word: and, start_time: 9.6,end_time: 9.9 
Word: I, start_time: 9.9,end_time: 10.0 
Word: need, start_time: 10.0,end_time: 10.2 
Word: for, start_time: 10.2,end_time: 10.3 
Word: you, start_time: 10.3,end_time: 10.4 
Word: to, start_time: 10.4,end_time: 10.5 
Word: sign, start_time: 10.5,end_time: 10.9 
Word: it, start_time: 10.9,end_time: 11.1 
Word: but, start_time: 11.1,end_time: 11.3 
Word: instead, start_time: 11.3,end_time: 11.6 
Word: of, start_time: 11.6,end_time: 11.7 
