Below is Time Logs: 
Below is time_logs: for gs://apfm-dev/LID19657601_CID86157034_Zeljka_Buckner_20200213.wav
Word: first, start_time: 0.0,end_time: 0.7000000000000001 
Word: let, start_time: 0.7000000000000001,end_time: 0.9 
Word: me, start_time: 0.9,end_time: 0.9 
Word: go, start_time: 0.9,end_time: 1.0 
Word: ahead, start_time: 1.0,end_time: 1.2 
Word: and, start_time: 1.2,end_time: 1.4 
Word: confirm, start_time: 1.4,end_time: 1.6 
Word: your, start_time: 1.6,end_time: 1.8 
Word: name, start_time: 1.8,end_time: 1.9 
Word: is, start_time: 1.9,end_time: 2.0 
Word: Aaron, start_time: 2.0,end_time: 2.4 
Word: Brown, start_time: 2.4,end_time: 2.7 
Word: is, start_time: 2.7,end_time: 3.1 
Word: that, start_time: 3.1,end_time: 3.3 
Word: correct, start_time: 3.3,end_time: 3.5 
Word: yes, start_time: 3.5,end_time: 5.0 
Word: or, start_time: 5.0,end_time: 5.1 
Word: no, start_time: 5.1,end_time: 5.2 
Word: okay, start_time: 5.2,end_time: 5.8 
Word: so, start_time: 5.8,end_time: 6.3 
Word: in, start_time: 6.3,end_time: 6.4 
Word: addition, start_time: 6.4,end_time: 6.6 
Word: to, start_time: 6.6,end_time: 6.8 
Word: confirming, start_time: 6.8,end_time: 7.3 
Word: your, start_time: 7.3,end_time: 7.5 
Word: name, start_time: 7.5,end_time: 7.6 
Word: I, start_time: 7.6,end_time: 8.1 
Word: need, start_time: 8.1,end_time: 8.2 
Word: a, start_time: 8.2,end_time: 8.4 
Word: record, start_time: 8.4,end_time: 8.8 
Word: that, start_time: 8.8,end_time: 9.0 
Word: I, start_time: 9.0,end_time: 9.1 
Word: provided, start_time: 9.1,end_time: 9.7 
Word: you, start_time: 9.7,end_time: 9.8 
Word: with, start_time: 9.8,end_time: 10.0 
Word: these, start_time: 10.0,end_time: 10.1 
Word: disclosures, start_time: 10.1,end_time: 10.8 
Word: and, start_time: 10.8,end_time: 11.2 
Word: I, start_time: 11.2,end_time: 11.2 
Word: need, start_time: 11.2,end_time: 11.4 
Word: for, start_time: 11.4,end_time: 11.6 
Word: you, start_time: 11.6,end_time: 11.6 
Word: to, start_time: 11.6,end_time: 11.7 
Word: sign, start_time: 11.7,end_time: 11.9 
Word: it, start_time: 11.9,end_time: 12.2 
Word: but, start_time: 12.2,end_time: 12.4 
Word: instead, start_time: 12.4,end_time: 12.7 
Word: of, start_time: 12.7,end_time: 12.8 
Word: having, start_time: 12.8,end_time: 12.9 
Word: to, start_time: 12.9,end_time: 13.1 
Word: physically, start_time: 13.1,end_time: 13.5 
Word: sign, start_time: 13.5,end_time: 13.8 
Word: something, start_time: 13.8,end_time: 14.2 
Word: we, start_time: 14.2,end_time: 14.7 
Word: can, start_time: 14.7,end_time: 14.9 
Word: actually, start_time: 14.9,end_time: 15.1 
Word: have, start_time: 15.1,end_time: 15.3 
Word: you, start_time: 15.3,end_time: 15.4 
Word: sign, start_time: 15.4,end_time: 15.7 
Word: over, start_time: 15.7,end_time: 15.8 
Word: the, start_time: 15.8,end_time: 16.0 
Word: phone, start_time: 16.0,end_time: 16.2 
Word: right, start_time: 16.2,end_time: 16.4 
Word: now, start_time: 16.4,end_time: 16.6 
Word: by, start_time: 16.6,end_time: 16.8 
Word: recording, start_time: 16.8,end_time: 17.3 
Word: this, start_time: 17.3,end_time: 17.4 
Word: conversation, start_time: 17.4,end_time: 17.8 
Word: is, start_time: 17.8,end_time: 18.3 
Word: that, start_time: 18.3,end_time: 18.4 
Word: all, start_time: 18.4,end_time: 18.5 
Word: right, start_time: 18.5,end_time: 18.6 
Word: fucker, start_time: 18.6,end_time: 19.2 
Word: yeah, start_time: 19.2,end_time: 19.8 
Word: okay, start_time: 19.8,end_time: 20.2 
Word: so, start_time: 20.2,end_time: 20.8 
Word: just, start_time: 20.8,end_time: 21.0 
Word: to, start_time: 21.0,end_time: 21.2 
Word: let, start_time: 21.2,end_time: 21.2 
Word: you, start_time: 21.2,end_time: 21.4 
Word: know, start_time: 21.4,end_time: 21.5 
Word: our, start_time: 21.5,end_time: 22.1 
Word: service, start_time: 22.1,end_time: 22.4 
Word: is, start_time: 22.4,end_time: 22.6 
Word: free, start_time: 22.6,end_time: 22.8 
Word: to, start_time: 22.8,end_time: 23.2 
Word: you, start_time: 23.2,end_time: 23.3 
Word: because, start_time: 23.3,end_time: 23.9 
Word: we're, start_time: 23.9,end_time: 24.2 
Word: paid, start_time: 24.2,end_time: 24.5 
Word: a, start_time: 24.5,end_time: 24.7 
Word: referral, start_time: 24.7,end_time: 24.8 
Word: fee, start_time: 24.8,end_time: 25.2 
Word: by, start_time: 25.2,end_time: 25.5 
Word: our, start_time: 25.5,end_time: 25.7 
Word: partner, start_time: 25.7,end_time: 26.1 
Word: communities, start_time: 26.1,end_time: 26.2 
Word: only, start_time: 26.2,end_time: 27.2 
