Below is Time Logs: 
Below is time_logs: for gs://apfm-dev/LID19673118_CID86573377_Bill_Turner_20200220.wav
Word: please, start_time: 0.0,end_time: 0.4 
Word: confirm, start_time: 0.4,end_time: 0.6000000000000001 
Word: you, start_time: 0.6000000000000001,end_time: 1.8 
Word: are, start_time: 1.8,end_time: 2.0 
Word: Carolyn, start_time: 2.0,end_time: 2.7 
Word: Turner, start_time: 2.7,end_time: 2.8 
Word: and, start_time: 2.8,end_time: 3.3 
Word: your, start_time: 3.3,end_time: 3.4 
Word: husband, start_time: 3.4,end_time: 3.8 
Word: is, start_time: 3.8,end_time: 4.0 
Word: Jeff, start_time: 4.0,end_time: 4.2 
Word: Turner, start_time: 4.2,end_time: 4.4 
Word: yep, start_time: 4.6,end_time: 5.4 
Word: thanks, start_time: 5.4,end_time: 6.4 
Word: and, start_time: 6.4,end_time: 7.6 
Word: thanks, start_time: 7.6,end_time: 7.8 
Word: for, start_time: 7.8,end_time: 7.8 
Word: doing, start_time: 7.8,end_time: 8.0 
Word: that, start_time: 8.0,end_time: 8.2 
Word: again, start_time: 8.2,end_time: 8.4 
Word: in, start_time: 8.4,end_time: 8.9 
Word: addition, start_time: 8.9,end_time: 9.1 
Word: to, start_time: 9.1,end_time: 9.3 
Word: confirming, start_time: 9.3,end_time: 9.9 
Word: your, start_time: 9.9,end_time: 10.1 
Word: name, start_time: 10.1,end_time: 10.2 
Word: I, start_time: 10.2,end_time: 10.5 
Word: just, start_time: 10.5,end_time: 10.6 
Word: need, start_time: 10.6,end_time: 10.9 
Word: a, start_time: 10.9,end_time: 11.0 
Word: record, start_time: 11.0,end_time: 11.5 
Word: that, start_time: 11.5,end_time: 11.9 
Word: I've, start_time: 11.9,end_time: 12.0 
Word: provided, start_time: 12.0,end_time: 12.3 
Word: you, start_time: 12.3,end_time: 12.8 
Word: with, start_time: 12.8,end_time: 13.0 
Word: the, start_time: 13.0,end_time: 13.1 
Word: disclosures, start_time: 13.1,end_time: 13.8 
Word: and, start_time: 13.8,end_time: 14.4 
Word: also, start_time: 14.4,end_time: 14.8 
Word: need, start_time: 14.8,end_time: 15.1 
Word: you, start_time: 15.1,end_time: 15.2 
Word: to, start_time: 15.2,end_time: 15.2 
Word: sign, start_time: 15.2,end_time: 15.5 
