Below is Time Logs: 
Below is time_logs: for gs://apfm-dev/LID19705556_CID300000003619823_Sam_Koloen_20200307.mp3
Word: please, start_time: 0.0,end_time: 0.9 
Word: you, start_time: 0.9,end_time: 1.8 
Word: are, start_time: 1.8,end_time: 1.8 
Word: Salaam, start_time: 2.0,end_time: 2.9 
Word: great, start_time: 4.2,end_time: 5.9 
Word: thanks, start_time: 5.9,end_time: 6.4 
Word: for, start_time: 6.4,end_time: 6.6 
Word: doing, start_time: 6.6,end_time: 6.7 
Word: that, start_time: 6.7,end_time: 8.8 
Word: I, start_time: 8.8,end_time: 11.5 
Word: do, start_time: 11.5,end_time: 11.5 
Word: I, start_time: 11.5,end_time: 15.1 
Word: know, start_time: 15.1,end_time: 18.2 
Word: alright, start_time: 18.2,end_time: 21.2 
Word: but, start_time: 21.2,end_time: 25.9 
Word: you, start_time: 25.9,end_time: 26.0 
Word: know, start_time: 26.0,end_time: 26.2 
Word: our, start_time: 26.2,end_time: 26.4 
Word: service, start_time: 26.4,end_time: 26.8 
Word: to, start_time: 26.8,end_time: 27.4 
Word: cuz, start_time: 27.4,end_time: 28.0 
Word: we, start_time: 28.0,end_time: 28.1 
Word: are, start_time: 28.1,end_time: 28.2 
Word: paid, start_time: 28.2,end_time: 28.4 
Word: a, start_time: 28.4,end_time: 28.5 
Word: referral, start_time: 28.5,end_time: 28.7 
Word: fee, start_time: 28.7,end_time: 29.0 
Word: only, start_time: 29.0,end_time: 30.1 
Word: if, start_time: 30.1,end_time: 31.3 
Word: we, start_time: 31.3,end_time: 31.4 
Word: have, start_time: 31.4,end_time: 31.6 
Word: Siri, start_time: 31.6,end_time: 35.2 
Word: this, start_time: 35.2,end_time: 35.4 
Word: to, start_time: 35.4,end_time: 36.8 
Word: 100, start_time: 36.8,end_time: 37.3 
Word: Brent, start_time: 37.3,end_time: 38.8 
Word: no, start_time: 38.8,end_time: 40.6 
Word: charge, start_time: 40.6,end_time: 41.4 
Word: you, start_time: 41.4,end_time: 41.5 
Word: more, start_time: 41.5,end_time: 41.7 
Word: cuz, start_time: 41.7,end_time: 42.4 
Word: you, start_time: 42.4,end_time: 42.5 
Word: service, start_time: 42.5,end_time: 43.4 
Word: do, start_time: 43.4,end_time: 44.0 
Word: you, start_time: 44.0,end_time: 44.1 
Word: understand, start_time: 44.1,end_time: 44.7 
Word: service, start_time: 44.7,end_time: 45.4 
Word: our, start_time: 45.4,end_time: 45.9 
Word: freedom, start_time: 45.9,end_time: 46.6 
Word: you, start_time: 46.6,end_time: 46.6 
Word: yep, start_time: 47.5,end_time: 48.1 
Word: please, start_time: 0.0,end_time: 0.9 
Word: you, start_time: 0.9,end_time: 1.8 
Word: are, start_time: 1.8,end_time: 1.8 
Word: Salaam, start_time: 2.0,end_time: 2.9 
Word: great, start_time: 4.2,end_time: 5.9 
Word: thanks, start_time: 5.9,end_time: 6.4 
Word: for, start_time: 6.4,end_time: 6.6 
Word: doing, start_time: 6.6,end_time: 6.7 
Word: that, start_time: 6.7,end_time: 8.8 
Word: I, start_time: 8.8,end_time: 11.5 
Word: do, start_time: 11.5,end_time: 11.5 
Word: I, start_time: 11.5,end_time: 15.1 
Word: know, start_time: 15.1,end_time: 18.2 
Word: alright, start_time: 18.2,end_time: 21.2 
Word: but, start_time: 21.2,end_time: 25.9 
Word: you, start_time: 25.9,end_time: 26.0 
Word: know, start_time: 26.0,end_time: 26.2 
Word: our, start_time: 26.2,end_time: 26.4 
Word: service, start_time: 26.4,end_time: 26.8 
Word: to, start_time: 26.8,end_time: 27.4 
Word: cuz, start_time: 27.4,end_time: 28.0 
Word: we, start_time: 28.0,end_time: 28.1 
Word: are, start_time: 28.1,end_time: 28.2 
Word: paid, start_time: 28.2,end_time: 28.4 
Word: a, start_time: 28.4,end_time: 28.5 
Word: referral, start_time: 28.5,end_time: 28.7 
Word: fee, start_time: 28.7,end_time: 29.0 
Word: only, start_time: 29.0,end_time: 30.1 
Word: if, start_time: 30.1,end_time: 31.3 
Word: we, start_time: 31.3,end_time: 31.4 
Word: have, start_time: 31.4,end_time: 31.6 
Word: Siri, start_time: 31.6,end_time: 35.2 
Word: this, start_time: 35.2,end_time: 35.4 
Word: to, start_time: 35.4,end_time: 36.8 
Word: 100, start_time: 36.8,end_time: 37.3 
Word: Brent, start_time: 37.3,end_time: 38.8 
Word: no, start_time: 38.8,end_time: 40.6 
Word: charge, start_time: 40.6,end_time: 41.4 
Word: you, start_time: 41.4,end_time: 41.5 
Word: more, start_time: 41.5,end_time: 41.7 
Word: cuz, start_time: 41.7,end_time: 42.4 
Word: you, start_time: 42.4,end_time: 42.5 
Word: service, start_time: 42.5,end_time: 43.4 
Word: do, start_time: 43.4,end_time: 44.0 
Word: you, start_time: 44.0,end_time: 44.1 
Word: understand, start_time: 44.1,end_time: 44.7 
Word: service, start_time: 44.7,end_time: 45.4 
Word: our, start_time: 45.4,end_time: 45.9 
Word: freedom, start_time: 45.9,end_time: 46.6 
Word: you, start_time: 46.6,end_time: 46.6 
Word: yep, start_time: 47.5,end_time: 48.1 
